instance,pop_size,mutation_rate,crossover,tournament_size,elitism_factor,best_fitness
A/A-n32-k5.vrp,20,0.1,2x0.0,5,0.12,844.0
A/A-n32-k5.vrp,20,0.1,ux0.5,5,0.12,826.0
A/A-n32-k5.vrp,20,0.1,ux0.75,5,0.12,819.0
A/A-n32-k5.vrp,20,0.1,2x0.0,5,0.25,846.0
A/A-n32-k5.vrp,20,0.1,ux0.5,5,0.25,858.0
A/A-n32-k5.vrp,20,0.1,ux0.75,5,0.25,829.0
A/A-n32-k5.vrp,80,0.1,2x0.0,5,0.12,838.0
A/A-n32-k5.vrp,80,0.1,ux0.5,5,0.12,792.0
A/A-n32-k5.vrp,80,0.1,ux0.75,5,0.12,871.0
A/A-n32-k5.vrp,80,0.1,2x0.0,5,0.25,799.0
A/A-n32-k5.vrp,80,0.1,ux0.5,5,0.25,841.0
A/A-n32-k5.vrp,80,0.1,ux0.75,5,0.25,859.0
A/A-n32-k5.vrp,150,0.1,2x0.0,5,0.12,806.0
A/A-n32-k5.vrp,150,0.1,ux0.5,5,0.12,856.0
A/A-n32-k5.vrp,150,0.1,ux0.75,5,0.12,866.0
A/A-n32-k5.vrp,150,0.1,2x0.0,5,0.25,831.0
A/A-n32-k5.vrp,150,0.1,ux0.5,5,0.25,855.0
A/A-n32-k5.vrp,150,0.1,ux0.75,5,0.25,844.0
A/A-n80-k10.vrp,20,0.1,2x0.0,5,0.12,2065.0
A/A-n80-k10.vrp,20,0.1,ux0.5,5,0.12,2198.0
A/A-n80-k10.vrp,20,0.1,ux0.75,5,0.12,2145.0
A/A-n80-k10.vrp,20,0.1,2x0.0,5,0.25,2035.0
A/A-n80-k10.vrp,20,0.1,ux0.5,5,0.25,2117.0
A/A-n80-k10.vrp,20,0.1,ux0.75,5,0.25,2152.0
A/A-n80-k10.vrp,80,0.1,2x0.0,5,0.12,2117.0
A/A-n80-k10.vrp,80,0.1,ux0.5,5,0.12,2156.0
A/A-n80-k10.vrp,80,0.1,ux0.75,5,0.12,2224.0
A/A-n80-k10.vrp,80,0.1,2x0.0,5,0.25,2033.0
A/A-n80-k10.vrp,80,0.1,ux0.5,5,0.25,2208.0
A/A-n80-k10.vrp,80,0.1,ux0.75,5,0.25,2188.0
A/A-n80-k10.vrp,150,0.1,2x0.0,5,0.12,1958.0
A/A-n80-k10.vrp,150,0.1,ux0.5,5,0.12,2305.0
A/A-n80-k10.vrp,150,0.1,ux0.75,5,0.12,2383.0
A/A-n80-k10.vrp,150,0.1,2x0.0,5,0.25,1999.0
A/A-n80-k10.vrp,150,0.1,ux0.5,5,0.25,2435.0
A/A-n80-k10.vrp,150,0.1,ux0.75,5,0.25,2276.0
A/A-n46-k7.vrp,20,0.1,2x0.0,5,0.12,983.0
A/A-n46-k7.vrp,20,0.1,ux0.5,5,0.12,1029.0
A/A-n46-k7.vrp,20,0.1,ux0.75,5,0.12,1032.0
A/A-n46-k7.vrp,20,0.1,2x0.0,5,0.25,1008.0
A/A-n46-k7.vrp,20,0.1,ux0.5,5,0.25,1049.0
A/A-n46-k7.vrp,20,0.1,ux0.75,5,0.25,1042.0
A/A-n46-k7.vrp,80,0.1,2x0.0,5,0.12,999.0
A/A-n46-k7.vrp,80,0.1,ux0.5,5,0.12,1026.0
A/A-n46-k7.vrp,80,0.1,ux0.75,5,0.12,985.0
A/A-n46-k7.vrp,80,0.1,2x0.0,5,0.25,958.0
A/A-n46-k7.vrp,80,0.1,ux0.5,5,0.25,1030.0
A/A-n46-k7.vrp,80,0.1,ux0.75,5,0.25,1020.0
A/A-n46-k7.vrp,150,0.1,2x0.0,5,0.12,1007.0
