instance,pop_size,mutation_rate,crossover,tournament_size,elitism_factor,best_fitness
A/A-n32-k5.vrp,20,0.1,2x0.0,5,0.12,844.0
A/A-n32-k5.vrp,20,0.1,ux0.5,5,0.12,826.0
A/A-n32-k5.vrp,20,0.1,ux0.75,5,0.12,819.0
A/A-n32-k5.vrp,80,0.1,2x0.0,5,0.12,838.0
A/A-n32-k5.vrp,80,0.1,ux0.5,5,0.12,792.0
A/A-n32-k5.vrp,80,0.1,ux0.75,5,0.12,871.0
A/A-n32-k5.vrp,150,0.1,2x0.0,5,0.12,806.0
A/A-n32-k5.vrp,150,0.1,ux0.5,5,0.12,856.0
A/A-n32-k5.vrp,150,0.1,ux0.75,5,0.12,866.0
A/A-n80-k10.vrp,20,0.1,2x0.0,5,0.12,2065.0
A/A-n80-k10.vrp,20,0.1,ux0.5,5,0.12,2198.0
A/A-n80-k10.vrp,20,0.1,ux0.75,5,0.12,2145.0
A/A-n80-k10.vrp,80,0.1,2x0.0,5,0.12,2117.0
A/A-n80-k10.vrp,80,0.1,ux0.5,5,0.12,2156.0
A/A-n80-k10.vrp,80,0.1,ux0.75,5,0.12,2224.0
A/A-n80-k10.vrp,150,0.1,2x0.0,5,0.12,1958.0
A/A-n80-k10.vrp,150,0.1,ux0.5,5,0.12,2305.0
A/A-n80-k10.vrp,150,0.1,ux0.75,5,0.12,2383.0
A/A-n46-k7.vrp,20,0.1,2x0.0,5,0.12,983.0
A/A-n46-k7.vrp,20,0.1,ux0.5,5,0.12,1029.0
A/A-n46-k7.vrp,20,0.1,ux0.75,5,0.12,1032.0
A/A-n46-k7.vrp,80,0.1,2x0.0,5,0.12,999.0
A/A-n46-k7.vrp,80,0.1,ux0.5,5,0.12,1026.0
A/A-n46-k7.vrp,80,0.1,ux0.75,5,0.12,985.0
A/A-n46-k7.vrp,150,0.1,2x0.0,5,0.12,1007.0
A/A-n46-k7.vrp,150,0.1,ux0.5,5,0.12,1029.0
A/A-n46-k7.vrp,150,0.1,ux0.75,5,0.12,1041.0
B/B-n78-k10.vrp,20,0.1,2x0.0,5,0.12,1492.0
B/B-n78-k10.vrp,20,0.1,ux0.5,5,0.12,1432.0
B/B-n78-k10.vrp,20,0.1,ux0.75,5,0.12,1460.0
B/B-n78-k10.vrp,80,0.1,2x0.0,5,0.12,1366.0
B/B-n78-k10.vrp,80,0.1,ux0.5,5,0.12,1566.0
B/B-n78-k10.vrp,80,0.1,ux0.75,5,0.12,1453.0
B/B-n78-k10.vrp,150,0.1,2x0.0,5,0.12,1350.0
B/B-n78-k10.vrp,150,0.1,ux0.5,5,0.12,1784.0
B/B-n78-k10.vrp,150,0.1,ux0.75,5,0.12,1511.0
B/B-n50-k8.vrp,20,0.1,2x0.0,5,0.12,1330.0
B/B-n50-k8.vrp,20,0.1,ux0.5,5,0.12,1392.0
B/B-n50-k8.vrp,20,0.1,ux0.75,5,0.12,1380.0
B/B-n50-k8.vrp,80,0.1,2x0.0,5,0.12,1349.0
B/B-n50-k8.vrp,80,0.1,ux0.5,5,0.12,1352.0
B/B-n50-k8.vrp,80,0.1,ux0.75,5,0.12,1372.0
B/B-n50-k8.vrp,150,0.1,2x0.0,5,0.12,1337.0
B/B-n50-k8.vrp,150,0.1,ux0.5,5,0.12,1422.0
B/B-n50-k8.vrp,150,0.1,ux0.75,5,0.12,1423.0
A/A-n32-k5.vrp,20,0.25,2x0.0,5,0.12,784.0
A/A-n32-k5.vrp,20,0.25,ux0.5,5,0.12,914.0
A/A-n32-k5.vrp,20,0.25,ux0.75,5,0.12,858.0
A/A-n32-k5.vrp,80,0.25,2x0.0,5,0.12,799.0
