instance,pop_size,mutation_rate,crossover,best_fitness
A/A-n32-k5.vrp,20,0.1,2x0.0,844.0
A/A-n32-k5.vrp,20,0.1,ux0.5,826.0
A/A-n32-k5.vrp,20,0.1,ux0.75,819.0
A/A-n32-k5.vrp,80,0.1,2x0.0,838.0
A/A-n32-k5.vrp,80,0.1,ux0.5,792.0
A/A-n32-k5.vrp,80,0.1,ux0.75,871.0
A/A-n32-k5.vrp,150,0.1,2x0.0,806.0
A/A-n32-k5.vrp,150,0.1,ux0.5,856.0
A/A-n32-k5.vrp,150,0.1,ux0.75,866.0
A/A-n80-k10.vrp,20,0.1,2x0.0,2065.0
A/A-n80-k10.vrp,20,0.1,ux0.5,2198.0
A/A-n80-k10.vrp,20,0.1,ux0.75,2145.0
A/A-n80-k10.vrp,80,0.1,2x0.0,2117.0
A/A-n80-k10.vrp,80,0.1,ux0.5,2156.0
A/A-n80-k10.vrp,80,0.1,ux0.75,2224.0
A/A-n80-k10.vrp,150,0.1,2x0.0,1958.0
A/A-n80-k10.vrp,150,0.1,ux0.5,2305.0
A/A-n80-k10.vrp,150,0.1,ux0.75,2383.0
A/A-n46-k7.vrp,20,0.1,2x0.0,983.0
A/A-n46-k7.vrp,20,0.1,ux0.5,1029.0
A/A-n46-k7.vrp,20,0.1,ux0.75,1032.0
A/A-n46-k7.vrp,80,0.1,2x0.0,999.0
A/A-n46-k7.vrp,80,0.1,ux0.5,1026.0
A/A-n46-k7.vrp,80,0.1,ux0.75,985.0
A/A-n46-k7.vrp,150,0.1,2x0.0,1007.0
A/A-n46-k7.vrp,150,0.1,ux0.5,1029.0
A/A-n46-k7.vrp,150,0.1,ux0.75,1041.0
B/B-n78-k10.vrp,20,0.1,2x0.0,1492.0
B/B-n78-k10.vrp,20,0.1,ux0.5,1432.0
B/B-n78-k10.vrp,20,0.1,ux0.75,1460.0
B/B-n78-k10.vrp,80,0.1,2x0.0,1366.0
B/B-n78-k10.vrp,80,0.1,ux0.5,1566.0
B/B-n78-k10.vrp,80,0.1,ux0.75,1453.0
B/B-n78-k10.vrp,150,0.1,2x0.0,1350.0
